date,open,high,low,close,volume,pre-close,changeamount,change
2021-08-17,3311.95,3326.08,3211.24,3224.15,169788710.0,3301.39,-77.24,-0.0234
2021-08-18,3238.26,3269.22,3219.05,3248.37,149470149.0,3224.15,24.22,0.0075
2021-08-19,3259.09,3304.43,3231.36,3278.36,147157125.0,3248.37,29.99,0.0092
2021-08-20,3256.49,3265.63,3162.76,3192.9,141579628.0,3278.36,-85.46,-0.0261
2021-08-23,3218.97,3296.36,3202.81,3293.77,162399821.0,3192.9,100.87,0.0316
2021-08-24,3301.86,3351.93,3269.86,3330.58,164753984.0,3293.77,36.81,0.0112
2021-08-25,3330.81,3348.89,3295.46,3348.66,147743485.0,3330.58,18.08,0.0054
2021-08-26,3361.91,3368.65,3262.68,3264.45,151299331.0,3348.66,-84.21,-0.0251
2021-08-27,3259.15,3296.68,3243.18,3257.07,148241766.0,3264.45,-7.38,-0.0023
2021-08-30,3275.97,3316.63,3249.87,3271.8,154720364.0,3257.07,14.73,0.0045
2021-08-31,3273.81,3273.81,3181.35,3214.12,148153769.0,3271.8,-57.68,-0.0176
2021-09-01,3214.17,3222.47,3128.27,3186.85,157238175.0,3214.12,-27.27,-0.0085
2021-09-02,3181.26,3200.04,3133.76,3138.8,142711905.0,3186.85,-48.05,-0.0151
2021-09-03,3150.3,3165.21,3088.78,3102.14,161008189.0,3138.8,-36.66,-0.0117
2021-09-06,3106.26,3231.57,3085.15,3228.09,144187607.0,3102.14,125.95,0.0406
2021-09-07,3222.43,3256.53,3203.68,3251.49,146501612.0,3228.09,23.4,0.0072
2021-09-08,3259.53,3282.45,3215.47,3219.95,171774044.0,3251.49,-31.54,-0.0097
2021-09-09,3224.45,3244.07,3174.03,3221.94,163756605.0,3219.95,1.99,0.0006
2021-09-10,3207.86,3241.87,3189.97,3232.01,152421663.0,3221.94,10.07,0.0031
2021-09-13,3231.39,3260.33,3183.44,3194.27,153534684.0,3232.01,-37.74,-0.0117
2021-09-14,3199.41,3275.94,3197.9,3236.55,158960727.0,3194.27,42.28,0.0132
2021-09-15,3233.15,3234.13,3185.65,3200.4,142905731.0,3236.55,-36.15,-0.0112
2021-09-16,3199.46,3199.46,3127.79,3128.84,152198804.0,3200.4,-71.56,-0.0224
2021-09-17,3124.32,3201.45,3122.32,3193.26,134558605.0,3128.84,64.42,0.0206
2021-09-22,3144.45,3199.77,3141.24,3164.33,112279501.0,3193.26,-28.93,-0.0091
2021-09-23,3197.26,3210.64,3160.58,3182.47,140236605.0,3164.33,18.14,0.0057
2021-09-24,3176.87,3250.14,3169.5,3207.82,131482179.0,3182.47,25.35,0.008
2021-09-27,3228.07,3280.3,3211.61,3231.58,139566851.0,3207.82,23.76,0.0074
2021-09-28,3219.38,3272.94,3202.62,3211.45,98933545.0,3231.58,-20.13,-0.0062
2021-09-29,3181.98,3209.69,3165.49,3175.15,106740703.0,3211.45,-36.3,-0.0113
2021-09-30,3188.39,3257.67,3180.91,3244.65,92699791.0,3175.15,69.5,0.0219
2021-10-08,3259.46,3285.73,3224.06,3243.2,107041226.0,3244.65,-1.45,-0.0004
2021-10-11,3242.18,3257.36,3190.66,3196.19,102582262.0,3243.2,-47.01,-0.0145
2021-10-12,3194.01,3196.71,3106.47,3138.26,106184146.0,3196.19,-57.93,-0.0181
2021-10-13,3141.42,3211.34,3140.02,3210.16,92078026.0,3138.26,71.9,0.0229
2021-10-14,3216.86,3238.15,3204.92,3215.74,91124920.0,3210.16,5.58,0.0017
2021-10-15,3198.89,3284.65,3187.4,3276.32,100190863.0,3215.74,60.58,0.0188
2021-10-18,3287.04,3287.04,3231.05,3276.48,95237732.0,3276.32,0.16,0.0
2021-10-19,3293.8,3310.02,3273.55,3297.29,97524324.0,3276.48,20.81,0.0064
2021-10-20,3304.55,3320.33,3276.82,3285.12,101313044.0,3297.29,-12.17,-0.0037
2021-10-21,3286.27,3304.01,3256.85,3279.49,99955587.0,3285.12,-5.63,-0.0017
2021-10-22,3290.54,3309.56,3268.94,3284.91,102248579.0,3279.49,5.42,0.0017
2021-10-25,3303.22,3342.22,3302.49,3338.62,104409541.0,3284.91,53.71,0.0164
2021-10-26,3370.79,3370.79,3322.19,3327.54,115421051.0,3338.62,-11.08,-0.0033
2021-10-27,3321.64,3324.35,3283.73,3308.96,116326899.0,3327.54,-18.58,-0.0056
2021-10-28,3301.91,3335.93,3266.31,3278.36,106916756.0,3308.96,-30.6,-0.0092
2021-10-29,3275.83,3358.35,3253.04,3350.67,114832781.0,3278.36,72.31,0.0221
2021-11-01,3341.47,3374.54,3302.96,3331.91,118892882.0,3350.67,-18.76,-0.0056
2021-11-02,3329.41,3373.18,3307.5,3339.6,126929526.0,3331.91,7.69,0.0023
2021-11-03,3334.41,3363.75,3301.44,3327.09,107344993.0,3339.6,-12.51,-0.0037
2021-11-04,3351.3,3380.21,3344.76,3362.25,120315843.0,3327.09,35.16,0.0106
2021-11-05,3354.38,3383.3,3347.16,3352.75,146071644.0,3362.25,-9.5,-0.0028
2021-11-08,3353.89,3393.39,3341.6,3380.29,142140736.0,3352.75,27.54,0.0082
2021-11-09,3400.97,3409.94,3377.51,3409.94,135163195.0,3380.29,29.65,0.0088
2021-11-10,3388.05,3403.31,3338.46,3399.66,146438326.0,3409.94,-10.28,-0.003
2021-11-11,3396.65,3443.96,3393.98,3433.24,160049961.0,3399.66,33.58,0.0099
2021-11-12,3436.26,3446.04,3409.48,3430.14,159366787.0,3433.24,-3.1,-0.0009
2021-11-15,3435.62,3435.68,3387.53,3401.87,163286152.0,3430.14,-28.27,-0.0082
2021-11-16,3400.34,3423.52,3389.55,3393.71,163438149.0,3401.87,-8.16,-0.0024
2021-11-17,3413.43,3425.57,3400.77,3421.33,150039572.0,3393.71,27.62,0.0081
2021-11-18,3416.64,3416.64,3374.01,3383.91,158807898.0,3421.33,-37.42,-0.0109
2021-11-19,3385.83,3419.75,3378.38,3418.96,143651046.0,3383.91,35.05,0.0104
2021-11-22,3434.57,3505.73,3430.59,3505.73,151512707.0,3418.96,86.77,0.0254
2021-11-23,3501.22,3508.9,3482.69,3492.77,155539469.0,3505.73,-12.96,-0.0037
2021-11-24,3488.38,3501.58,3469.36,3478.66,160103457.0,3492.77,-14.11,-0.004
2021-11-25,3477.6,3490.62,3462.13,3474.45,159861102.0,3478.66,-4.21,-0.0012
2021-11-26,3470.21,3501.34,3461.19,3468.87,154450650.0,3474.45,-5.58,-0.0016
2021-11-29,3455.61,3522.5,3455.61,3503.41,147618156.0,3468.87,34.54,0.01
2021-11-30,3520.29,3520.29,3472.58,3495.59,160870671.0,3503.41,-7.82,-0.0022
2021-12-01,3492.44,3501.33,3459.51,3473.37,159308703.0,3495.59,-22.22,-0.0064
2021-12-02,3464.92,3487.94,3456.31,3466.91,162528852.0,3473.37,-6.46,-0.0019
2021-12-03,3467.41,3482.46,3446.95,3478.67,134108854.0,3466.91,11.76,0.0034
2021-12-06,3460.96,3479.86,3403.16,3405.93,139565612.0,3478.67,-72.74,-0.0209
2021-12-07,3429.76,3429.84,3338.0,3368.78,130414423.0,3405.93,-37.15,-0.0109
2021-12-08,3388.32,3428.23,3378.28,3424.7,117223017.0,3368.78,55.92,0.0166
2021-12-09,3422.38,3463.65,3400.38,3459.32,132985741.0,3424.7,34.62,0.0101
2021-12-10,3431.29,3485.08,3429.57,3466.8,131223519.0,3459.32,7.48,0.0022
2021-12-13,3473.39,3508.19,3457.54,3496.96,143239654.0,3466.8,30.16,0.0087
2021-12-14,3491.82,3507.27,3486.91,3495.06,156779354.0,3496.96,-1.9,-0.0005
2021-12-15,3492.58,3520.47,3462.51,3464.76,159256018.0,3495.06,-30.3,-0.0087
2021-12-16,3479.18,3491.18,3467.73,3490.45,153450440.0,3464.76,25.69,0.0074
2021-12-17,3480.51,3486.24,3427.02,3434.34,164781829.0,3490.45,-56.11,-0.0161
2021-12-20,3420.86,3434.09,3327.79,3332.61,149900129.0,3434.34,-101.73,-0.0296
2021-12-21,3328.89,3354.92,3306.96,3350.43,138275569.0,3332.61,17.82,0.0053
2021-12-22,3360.28,3379.08,3354.38,3368.7,153185964.0,3350.43,18.27,0.0055
2021-12-23,3379.81,3389.85,3358.92,3373.7,137255777.0,3368.7,5.0,0.0015
2021-12-24,3381.54,3384.29,3280.94,3297.11,148551196.0,3373.7,-76.59,-0.0227
2021-12-27,3296.41,3315.75,3273.82,3293.81,128810644.0,3297.11,-3.3,-0.001
2021-12-28,3300.31,3331.32,3280.07,3328.56,133601610.0,3293.81,34.75,0.0106
2021-12-29,3326.08,3326.21,3281.9,3281.9,129301801.0,3328.56,-46.66,-0.014
2021-12-30,3285.77,3339.65,3280.31,3322.79,149972058.0,3281.9,40.89,0.0125
2021-12-31,3342.19,3353.57,3315.07,3322.67,144676877.0,3322.79,-0.12,-0.0
2022-01-04,3348.13,3349.45,3238.24,3250.16,177664374.0,3322.67,-72.51,-0.0218
2022-01-05,3242.44,3245.76,3145.05,3161.51,177659988.0,3250.16,-88.65,-0.0273
2022-01-06,3133.05,3150.11,3093.04,3127.48,156512904.0,3161.51,-34.03,-0.0108
2022-01-07,3137.07,3147.23,3093.21,3096.88,161234396.0,3127.48,-30.6,-0.0098
2022-01-10,3082.78,3115.47,3051.53,3095.69,131560261.0,3096.88,-1.19,-0.0004
2022-01-11,3094.7,3103.83,3050.59,3056.15,136094723.0,3095.69,-39.54,-0.0128
2022-01-12,3091.67,3139.38,3088.78,3136.69,134519227.0,3056.15,80.54,0.0264
2022-01-13,3145.02,3145.02,3083.14,3083.14,143819131.0,3136.69,-53.55,-0.0171
2022-01-14,3059.14,3128.25,3057.94,3119.41,158501819.0,3083.14,36.27,0.0118
2022-01-17,3124.63,3176.24,3113.98,3170.41,179115594.0,3119.41,51.0,0.0163
2022-01-18,3168.79,3177.82,3136.25,3144.33,193728704.0,3170.41,-26.08,-0.0082
2022-01-19,3139.23,3141.28,3052.65,3075.98,162485750.0,3144.33,-68.35,-0.0217
2022-01-20,3072.39,3102.31,3056.96,3065.99,170969272.0,3075.98,-9.99,-0.0032
2022-01-21,3052.98,3069.88,3020.3,3034.68,138642944.0,3065.99,-31.31,-0.0102
2022-01-24,3011.63,3071.06,3010.2,3056.43,116341870.0,3034.68,21.75,0.0072
2022-01-25,3035.82,3055.88,2974.96,2974.96,137955487.0,3056.43,-81.47,-0.0267
2022-01-26,2993.16,3008.38,2952.91,3004.41,104776238.0,2974.96,29.45,0.0099
2022-01-27,2994.0,3001.55,2904.71,2906.76,116443558.0,3004.41,-97.65,-0.0325
2022-01-28,2945.72,2962.77,2882.67,2908.94,105431398.0,2906.76,2.18,0.0007
2022-02-07,2972.19,2987.5,2905.25,2917.86,104094572.0,2908.94,8.92,0.0031
2022-02-08,2913.32,2913.32,2782.28,2846.48,107192486.0,2917.86,-71.38,-0.0245
2022-02-09,2844.84,2887.73,2818.39,2883.6,127073175.0,2846.48,37.12,0.013
2022-02-10,2891.3,2891.3,2796.9,2826.52,115864084.0,2883.6,-57.08,-0.0198
2022-02-11,2800.75,2811.78,2742.51,2746.38,123544637.0,2826.52,-80.14,-0.0284
2022-02-14,2723.51,2776.23,2710.88,2732.01,103137853.0,2746.38,-14.37,-0.0052
2022-02-15,2744.39,2817.81,2739.42,2816.44,101154952.0,2732.01,84.43,0.0309
2022-02-16,2829.65,2841.33,2808.27,2818.4,105677435.0,2816.44,1.96,0.0007
2022-02-17,2813.48,2861.97,2804.89,2839.83,125136942.0,2818.4,21.43,0.0076
2022-02-18,2819.55,2829.82,2803.24,2826.81,107503657.0,2839.83,-13.02,-0.0046
2022-02-21,2830.6,2836.28,2794.26,2804.6,138332756.0,2826.81,-22.21,-0.0079
2022-02-22,2783.28,2783.28,2741.97,2765.91,140269801.0,2804.6,-38.69,-0.0138
2022-02-23,2770.21,2845.08,2770.21,2843.87,141077453.0,2765.91,77.96,0.0282
2022-02-24,2817.8,2852.72,2746.62,2783.9,194823613.0,2843.87,-59.97,-0.0211
2022-02-25,2827.83,2882.07,2827.83,2855.8,130211028.0,2783.9,71.9,0.0258
2022-02-28,2844.82,2881.31,2834.54,2881.31,118207475.0,2855.8,25.51,0.0089
2022-03-01,2895.39,2905.13,2865.88,2885.79,119441818.0,2881.31,4.48,0.0016
2022-03-02,2866.69,2866.69,2811.12,2834.64,120817661.0,2885.79,-51.15,-0.0177
2022-03-03,2850.67,2853.47,2789.51,2791.95,125794532.0,2834.64,-42.69,-0.0151
2022-03-04,2763.06,2797.82,2737.47,2748.64,133627597.0,2791.95,-43.31,-0.0155
2022-03-07,2718.44,2720.78,2620.83,2630.37,120078129.0,2748.64,-118.27,-0.043
2022-03-08,2645.11,2654.64,2567.91,2582.99,136251822.0,2630.37,-47.38,-0.018
2022-03-09,2594.96,2608.21,2462.17,2566.72,143749752.0,2582.99,-16.27,-0.0063
